source_rel	size_bytes	sha256	action
Bin\rakion.bin	1801216	284aec697f15fcbc59c5b4f919a7c92897fef5f2e50cf023d95fc2cf69911ca3	unknown_meta_only
Bin\RakionEng.ini	379	f67afba6d1a4f8b31e9194753cb1712bf2ceccf0eae7ed57fdb589134acb4e41	copied_text
Bin\shaders.dll	65536	6b701c0a6145b01001893c8ae892f41a56ad912ba393dd009f1babb6ff1e5f33	unknown_meta_only
Bin\stlport_vc646.dll	790528	5bf1cc994c2b965f5ba8eaec9e8042bce1966f759768b143b98626730efda961	unknown_meta_only
Bin\uitoolkit.dll	466944	403dd2031503f3d1f1b42f444caefd82e73586f60db05f4cc282d4c81b2bf68c	unknown_meta_only
Bin\vorbis.dll	94208	7aececd5a57a4a36a3ed498440f472de8ac7143e53767bd924a1a30fa720926b	unknown_meta_only
Bin\vorbisfile.dll	28672	eb3a20f7d7b48415c506672a842485947750bf5c36f657a9ec3cffeaa4ca025f	unknown_meta_only
Bin\GameGuard\0npgg.erl	10439	0f279204ac45b00261697291a6271fdb9c9d6583d5c7cb5e1628eb51d9629250	copied_text
Bin\GameGuard\0npgl.erl	7332	731a0c633ef9a8ae3fd2cab6005de8296a0c892d23f32734dcf840695a1994d4	copied_text
Bin\GameGuard\0npgm.erl	43135	240d795978ae9d78634ea6127e057f3d4faa3ce97a218e362cb0e682f55cf13a	copied_text
Bin\GameGuard\0npgmup.erl	15062	d6e738e2a87e6224bd8bbccd2a7f1b57e95dea1ad5a92c013169bd91a2a41995	copied_text
Bin\GameGuard\0npsc.erl	27888	9b6d075f66e9e483d08c4f1863b1de0edd0acefa9ad6f3e0336339b5566c4f91	copied_text
Bin\GameGuard\GameGuard.des	274113	a5adacdb70d50e137c6d5f064639ae2daea4d078a9a7221fa4dcaafc5af91c4c	copied_text
Bin\GameGuard\GameGuard.ver	25	e12e035411dde52ce2cebc384ef18ac04c7867aad154d507123e928c2e6c86c4	copied_text
Bin\GameGuard\GameMon.des	2537416	f9774bedcb5ec8901cd5f61b5af31e14b902ca647e0573c6ccd94d11127bff3b	copied_text
Bin\GameGuard\ggerror.des	115804	eb86e840bd4d1bcd0305cc15ee3c25625a50fc73c5a3ec81f5cb73acbefb1453	copied_text
Bin\GameGuard\ggscan.des	103003	af7515372d569d09aacf14dd0030387a974e835f5b772afc0f8774d73aaed373	copied_text
Bin\GameGuard\npgg.erl	19114	ffdaa425a88f61ef8b1a37e56dc9a571a0d5f5a58c2d8f432c0ce9ed33797896	copied_text
Bin\GameGuard\npgg9x.des	42587	618355c14bb52c6b569603aaacb07b9951548b2c6a48513b3709e55b44e18b5d	copied_text
Bin\GameGuard\npggNT.des	90203	e6d93a4fc749b1850925c449ee97bb97d72add22468acc10e11608e3cb70ee07	copied_text
Bin\GameGuard\npgl.erl	7382	21bf8be9412361f2fa969c4d56712774adf9534d32e71e296ff7e3aea675776b	copied_text
Bin\GameGuard\npgl1.erl	17480	fc66ee58130c905dad6cdb0926f2c9449e5cbc22cd5265b93128a5288907b791	copied_text
Bin\GameGuard\npgm.erl	91842	7e98df1bb9ed18a37a4c6ad86d3801df7f649ee76d746b899a53e38543cf76f4	copied_text
Bin\GameGuard\npgmup.des	172123	5335a6e77ff95a23267b5d5f775bd89e326a1a658036deb32e860c4f86ab5614	copied_text
Bin\GameGuard\npgmup.des.new	172123	5335a6e77ff95a23267b5d5f775bd89e326a1a658036deb32e860c4f86ab5614	copied_text
Bin\GameGuard\npgmup.erl	15062	d6e738e2a87e6224bd8bbccd2a7f1b57e95dea1ad5a92c013169bd91a2a41995	copied_text
Bin\GameGuard\npsc.des	69209	ef44875b3b1539148fd4d89359f75bd5d7ca4484ebe8e2bb91790862284f12ca	copied_text
Bin\GameGuard\npsc.erl	28179	52e7469ce527a92ddc222a67388fc024e1a18af95820b0a31f396b0975195bc8	copied_text
Bin\GameGuard\NPSCAN.DES	657499	605a54771a94d0a11f3bb2052af2c3f2313962c966cc955efa59d2da9d5b1053	copied_text
Bin\GameGuard\RakionEng.ini	379	f67afba6d1a4f8b31e9194753cb1712bf2ceccf0eae7ed57fdb589134acb4e41	copied_text
Bin\GameGuard\Splash.jpg	12239	7a0d0db279c94a42532914a0049c1b04788a30b9c0825593bcec932b2a629a58	asset_meta_only
ControlsSV\Controls.ctl	5728	819980736e32cd02a74189eff3e3c5231edda6c7535b2a5f8485c184093a580a	copied_text
ControlsSV\Macros.ctl	452	a1a0169491251080fec187a60dc3528cd3ce0d71263887f18a1c665af0f00e7a	copied_text
ControlsSV\System\Common.ctl	358	f0e2f19557ab2c940b6ac04cdde699b4ea549f9adeecdb168464dc900f995bb7	copied_text
img\front_img.bmp	940466	db780eda8618232147d8a716991e0bca1158127135bfc12de22fca08e230992f	asset_meta_only
img\Game.dat	3177	60702b4668f4f7f9386d19fe064e2b99567ea4f2bf327d013693da871638cdaa	copied_text
img\login_text_id_password.bmp	22758	2559aaa29796a79ab7afd07ef6966e519374a306288c909e329c44dd41501c3f	asset_meta_only
img\selectgame_frame.bmp	1442454	640926248dc563f2573e6233d3c76852cb5118cd5838c53d7c4e56d2b1af59b7	asset_meta_only
img\selectgame_option.bmp	56504	d9613820950f59927a140d98b0aff77bc7e4fc30851cd3b3ccb7ab272fe9aed4	asset_meta_only
img\selectgame_rakionimg.bmp	110456	74787f33af62760e8e7c6c2848c12c400c8f1b518085655d6a802d089be4ff89	asset_meta_only
img\selectgame_start.bmp	42392	89dd075830397fd6cd5e733e91b9320914b852dc1d1e5211c164715449c5d390	asset_meta_only
img\sys.bmp	4464	ac0de69d8b76f9042c0ebfacbc3f7b4315849dc14428c271270f5b8cd56cc690	asset_meta_only
ModelsSV\players\battlebow\chaos\battlebow.aal	4183	5389c6f58b20eeb64b781b020da51d3f4759a1fed03acaa9451514b1f0cd8e5b	asset_meta_only
ModelsSV\players\battlebow\chaos\battlebow.asl	105	e53525bdda3c6624969c4d90b5662479152b1e67fc8604e404c93deac7c14182	copied_text
ModelsSV\players\battlebow\chaos\battlebow.ba	848287	47f9d69bb34eb5d6dd7d6e3facfba394ee7ca35a4cffac40d4e7b511c8e599ab	asset_meta_only
ModelsSV\players\battlebow\chaos\battlebow.bmc	957	814a88759ddce12b8854e83a66c890bed3c1e293bfae31773d469a28fff7aeb6	asset_meta_only
ModelsSV\players\battlebow\chaos\battlebow.bs	8272	7a956834855c334da356ff631344136cf8000bc4832531e533fc44190dfd1dab	asset_meta_only
ModelsSV\players\battlebow\chaos\battlebow.smc	552	6cc250c6a54dcbff3040399b5d8b69b85b7328c198d3470c80a3a590558fe17b	asset_meta_only
ModelsSV\players\battlebow\chaos\battlebow_chaos.tex	393312	603a5deb349e7d19831bd13dd648169f1fb79ae503811560ca77932fe7d48feb	unknown_meta_only
ModelsSV\players\battlebow\chaos\body.aml	290	51f4998e773d11d2c31ee0da3a7824ab63fa0c324f99f8db23b6e3e0593542af	copied_text
ModelsSV\players\battlebow\chaos\body.bm	195791	eb4a95a5b2d4384880dc6e8a76d17bf8915a68454722e02c2c690a7da8420716	asset_meta_only
ModelsSV\players\battlebow\chaos\body.shp	980	4ff4d16e66ac0775d45175366d50a03867b64669e3745663aff01eaee8d1518b	asset_meta_only
ModelsSV\players\battlebow\chaos\body_lod.shp	980	4ff4d16e66ac0775d45175366d50a03867b64669e3745663aff01eaee8d1518b	asset_meta_only
ModelsSV\players\battlebow\chaos\ponytail\hair_ponytail.ba	1399	73cf76fdafcdb56bde185fc6f62f6e77a0484b07e48094e7716c3725aa3183d6	asset_meta_only
ModelsSV\players\battlebow\chaos\ponytail\hair_ponytail.bm	12671	1a885a2aa813630670f85d71d823aeaf09a359f8c6777307c704a9c4c6ef544c	asset_meta_only
ModelsSV\players\battlebow\chaos\ponytail\hair_ponytail.bmc	521	dcbab30c9878017fa1ef18b934f1baefbf4e1ea9e27a51149235544836f1ed1b	asset_meta_only
ModelsSV\players\battlebow\chaos\ponytail\hair_ponytail.bs	1016	914b42b4ba4974731cecba973114ad028330a47361f6d78e46152dab81db11c9	asset_meta_only
ModelsSV\players\battlebow\chaos\ponytail\hair_ponytail.smc	444	36e599bae475fc6328980b923c9c27aac816d53337b73ce25af2c32a38a0803d	asset_meta_only
ModelsSV\players\battlebow\chaos\weapon\arrow.ba	397	3c1af8add91e8ee6b0c8670d167bb3aff5ba4a038a513ae2c5487740fdb28e16	asset_meta_only
ModelsSV\players\battlebow\chaos\weapon\arrow.bm	2159	eef84677e43761230121e60c3f8c593ffd558ba286908b1274c1dd18d6711737	asset_meta_only
ModelsSV\players\battlebow\chaos\weapon\arrow.bmc	510	b1e584f6c44aac7bd7308a309b398003b166c8b81c05c734c16002fee5d86a1e	asset_meta_only
ModelsSV\players\battlebow\chaos\weapon\arrow.bs	292	7a837a5da37ba062eb0b142266a65280755890faea0c5bddb159124bc163a6bc	asset_meta_only
ModelsSV\players\battlebow\chaos\weapon\arrow.smc	456	ed06167b75cbcb2ffdbbe5b5f903610243aeb3202222bde715f636b4531ee815	asset_meta_only
ModelsSV\players\battlebow\chaos\weapon\bow.ba	25945	fc5931af83fb0ef015a4f32bf6543ebe93adf82740e40d748e2af69afa5b1267	asset_meta_only
ModelsSV\players\battlebow\chaos\weapon\bow.bm	26570	47f9eea008d6636e942e578dcccaaec15e0f390743457b8223433640c54dd258	asset_meta_only
ModelsSV\players\battlebow\chaos\weapon\bow.bmc	500	296a7ab1fad2e8f35d0799a16d93f1613fb58fe0666c933632d543b1ed15e855	asset_meta_only
ModelsSV\players\battlebow\chaos\weapon\bow.bs	1889	cc9efb603570c7ad66762d2656a0e4db1332f73302aebfe74f22d37c1231d43d	asset_meta_only
ModelsSV\players\battlebow\chaos\weapon\bow.smc	450	74b13b64eb92b67864aa950ee43b814b376100aa064ab948d8186ba49b380b73	asset_meta_only
ModelsSV\players\battlebow\chaos\weapon\pr_arrow.bmc	513	8088d80b22416a9a7778d2328910bd01592a2fa0c1cc26c5eff0feead85c0c86	asset_meta_only
ModelsSV\players\battlebow\chaos\weapon\pr_arrow.smc	483	aee16fc51e2df2700602e8218a2efb7e5adfc9dcaa9a8227d4235719942a113e	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_00\battlebow.ba	4811651	a2c6c3c934f33b0f15607faf307b99f3a5c91b3a2c1b28f016fb2a654338f252	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_00\battlebow.bmc	1799	41433f9f203ba2f38f0b3b2c0bf5e7320fbc991fdfd288660992a0f88e493fcb	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_00\battlebow.bs	9336	880a7004f802a72c54d0caa2f468d2301e6a5740978effb92718fe4a8e25412c	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_00\battlebow.smc	940	7f6628d96f61293c910e3461bddc6331ea825a367512934fae993d8574ed0aa1	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_00\battlebow_body.tex	196704	ee5f901ec3311550b1ad97c3951a86a21341561ee7b24c315ea156e4261a35ac	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_00\battlebow_face.tex	49248	ade6828055f6599516ddfc3a37fcb3ddef8cfa2e56d1f7afcb212eee9ab26d82	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_00\battlebow_head.tex	131168	a5e3b4af524b4ffbb678b8452fe6fcf562ce68f3e77acc0082dfcda480cbf14e	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_00\battlebow_lod.tex	196704	ba4be447fe84eb035b193e41c95ff726687c562191633d7a15a6a5efca589613	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_00\body.bm	96168	2fe075f36148f205fbbda0987ab3b3e64513686406cc0fb769a3ae9eb8934fde	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_01\battlebow.bmc	1799	2ac1977fc0352c091f0d2c4cf81719f5fd3902340f7c9414ce614bb51cbe4686	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_01\battlebow.smc	940	25191a79f3c6d2cb625ea8b92cf3bba5d294f3b5fc43f8ff07f1786b95a4699a	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_01\battlebow_body.tex	196704	625038d22f381cfcbf06e999d6f9e78e8761695548e3c9782d76295b569c1a66	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_01\battlebow_lod.tex	12384	5290a12de7bba3907698091953b2096b404cb0349dc0584b970c25e35f322d1d	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_01\body.bm	95960	3b31c23696b84dd71c5db708a7871b4f2a07255dd09cc6414023f77a076af0f2	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_02\battlebow.ba	4182747	f706a470685ede528ae777b31a73c0c5f11ccab9c6d52aa731823f875909c2db	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_02\battlebow.bmc	1799	38d3e7353c44319bbdd0929e338879ceabbf3988f1956074b0c1f6285276b49e	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_02\battlebow.bs	9336	59b8e7792b213b62e5e4cd50f50b763270241fd1b2b3a02960d9d9d6d4ac3feb	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_02\battlebow.smc	940	31a072940517d7fdc7570dfbc77cd1d397bd7611bb95137f49d1d287b5c339d0	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_02\battlebow_body.tex	196704	0ced495d25455413730b5676ba3599aa7208d130b6f844afbd17add8e8e7ddd8	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_02\battlebow_lod.tex	12384	69e858985eb5e76f7f724cdb4936f63740e9499a0046ef3c65748ad51758ad34	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_02\body.bm	94063	5677913667823b009dc92ca1b340ca7d68e798d153f2ce9bbdcec6733361a52f	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_03\battlebow.bmc	1799	4ef801cdc9ebb6c3ab2857c201f6216d03821af6811df354275b1b76314add84	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_03\battlebow.smc	940	22434df44e985b0b13d964fceef8c24d10008300e3e0ef44a22ed995e7029d7c	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_03\battlebow_body.tex	196704	af7e9f2a9171d8f7d74765d675cffbddbe34869cac72bea1685bc64613412225	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_03\battlebow_lod.tex	12384	18b2d932776a06c23b7c82d7b33d45d18dfe95be544cc9d962749b9c184d3cd6	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_03\body.bm	91267	37661e16dc8f06133362a6d5955d96cee546ef84de8ce72443a431ed3ac7e449	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_04\battlebow.bmc	1799	b949313e09f12d0c7ae728b7f8c6a329991397c3a6138101b451b7c68f1739e4	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_04\battlebow.smc	940	634a31368aa351d026bde47c4d7518e1e84cb59b7a540524c1cda4d302484e1c	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_04\battlebow_body.tex	196704	34d6baa7d72fcdd64205b622d83777e1f1c6de9dfa30e4350be0235005ae3750	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_04\battlebow_lod.tex	12384	5cd9e07d0fa9a530438f958eb29349bc9f1e729cd3952010719d0233954154f1	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_04\body.bm	90626	37725928f58f56064d82e98d8defdc86c024bae4b1aeb3438dac19ffe2478fb5	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_05\battlebow.bmc	1701	502feb4375831d164c7dbe1a8287f19004aff0a8e2ccef0a6f8cc6f4235500e5	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_05\battlebow.smc	841	2400d2cbb5da975bfbc334edef69f78cbbde815c366f57cbb8421cc7d8d8cf55	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_05\battlebow_body.tex	196704	90c7547e2bd6fe6c02fed468676c7fd4d171225c169481fbf24b71add9a701cd	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_05\body.bm	118859	7045f681614b888e2c0076ec5bddeb137d8259647f1ee007f791a500d048a2eb	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_06\battlebow.bmc	1701	afa7d5078b904ded787f3845feb02c71ea05f50d18d02882b3f1a69a7c363a9b	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_06\battlebow.smc	841	a9c3e3968f4a00988ac74a096e9d2ffcf5dbba02ce7cfddfe084669713fab336	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_06\battlebow_body.tex	196704	79ecf2b17d681c63b583d93f8be3d586517fa6b6fe5cc40c5c2efccd4225d860	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_06\body.bm	117448	b959a0e349377fee3ad2e0b61f9515d582ce1fb4faf6581a366f5b64e5047737	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_07\battlebow.bmc	1701	fc65b32b4762ccbdfd5289eca51a7ca60011a96e82d96ad64678209aecd034b0	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_07\battlebow.smc	841	5a6e8dfbdfcc2bdf2bec44e1a2daef2f189d12b50e125153332fd99639724b94	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_07\battlebow_body.tex	196704	47d4fcc30d21d23b44b9887af8a18c30d91e075686e28feea52c13d3560937db	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_07\body.bm	129108	49acce4c0e4453d6a37832e214c37c2ac37b408b3550b0d71a6e192d271ff1a4	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_08\battlebow.bmc	1701	4c7b4bc8b5941ca78ff8ad4c26497ae5a71310911972a9b01d1e69ea496931d4	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_08\battlebow.smc	841	49cf560d74e49b3d068fbfc412d6eb7e0cb59dfa14a54eb0c05bf2616800c9e7	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_08\battlebow_body.tex	393312	b3aa0340926416208c5bfa3748980c4f3c9f0c025145762e43db33de692f4c5e	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_08\battlebow_head.tex	98400	4bcf95bb4c4ff5eb5815127e3407f27e0c7b46a732b8d8ab57f932469b133e07	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_08\body.bm	177632	b72697c388b963d0955e30ce0fc459047a032b6d8545fed3bc2813447fa5708e	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_08\vssver.scc	112	ddc3036966c30fa5e7feb64a073e58266ab67aef2e9676177d11c3be962ff763	copied_text
ModelsSV\players\battlebow\standard\01_body\body_09\battlebow.ba	11991	4166902e3192611cbd3a4c50eefed9d25846bc2841ded2dcdc364ccbcc0d63ba	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_09\battlebow.bmc	1701	eba9862d3844b6bcc733dcb95cf24db2de37ab5cb6fb2d7dd035e7f07b48d406	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_09\battlebow.bs	8764	6bfd86ef968d3fe9b8d129fe8b768c0b347ba2b0ede7859ef8a8e60ebb5a86d0	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_09\battlebow.smc	841	15ae6d19258b966e48dac116f2d2dca9f8df785a32c5ce4dea122d7ebd08da6a	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_09\battlebow_body.tex	196704	dc4b4a16fe2194f6f66c4b338809c41530b21c98db2ebbb8bfdd900b2ffe90b9	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_09\battlebow_head.tex	196704	6d5c4cf929f8a96ee7dc01a72abce2eae77e22626b16624df227a98f19b6f8f1	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_09\body.bm	161236	358e1fd15ff3684023c471e8bc50a25a83064a70e58d62fbed20824a4c5afc0c	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_10\battlebow.ba	12575	7ff4466785b29712cad9b4cbe54e6d5a3317fd1c299155e01d06c3915bc3b393	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_10\battlebow.bmc	1701	0963755460dc6304f1ec3334e967b1487ab07ebe3e09991b099c04c02a6d0cef	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_10\battlebow.bs	9204	9960505d57144583c566e103cbd7e5fb63878d62cd3a1f4e07a096fd2bfb72b7	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_10\battlebow.smc	841	71a5a54f4c80bb9a55707cc4d719ae63ba8e491510668b6fe69503b8de927222	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_10\battlebow_body.tex	524384	60d752a50161f4cba39d4d379548208b7e916104515a5c46a3f765fecaed7459	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_10\battlebow_head.tex	98400	a5628eb37137f734cc799c1b49e1a2833ff0b1d35206e98613d220d0a7489285	unknown_meta_only
ModelsSV\players\battlebow\standard\01_body\body_10\body.bm	154488	b6fd992fa67d0fe71f73c1b58b1326e6d1447d637fa1b44931ab3d594f2d78f8	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_10\vssver2.scc	558	b366ff41e329e3998e08e063165ae49b1175f89f3a5606ae5b45dd6ec15ea330	copied_text
ModelsSV\players\battlebow\standard\01_body\body_11\battlebow.smc	841	71210a6745e58792d21c2d29a6452b17fc8ad248512f96ccf18fe37fe53eb3e4	asset_meta_only
ModelsSV\players\battlebow\standard\01_body\body_11\battlebow_body.tex	524384	55ba37607425d86baa4ca24e11a9e2a6cdbfad241001db8c664b0d85461d6631	unknown_meta_only
